Month,Points,Ranking,Team
2010-02-01,1500,221,AFC Bournemouth
2010-03-01,1500,227,AFC Bournemouth
2010-04-01,1500,228,AFC Bournemouth
2010-05-01,1500,227,AFC Bournemouth
2010-06-01,1500,221,AFC Bournemouth
2010-07-01,1500,223,AFC Bournemouth
2010-08-01,1500,225,AFC Bournemouth
2010-09-01,1500,232,AFC Bournemouth
2010-10-01,1500,239,AFC Bournemouth
2010-11-01,1500,236,AFC Bournemouth
2010-12-01,1500,242,AFC Bournemouth
2011-01-01,1500,239,AFC Bournemouth
2011-02-01,1500,237,AFC Bournemouth
2011-03-01,1500,242,AFC Bournemouth
2011-04-01,1500,240,AFC Bournemouth
2011-05-01,1500,240,AFC Bournemouth
2011-06-01,1500,243,AFC Bournemouth
2011-07-01,1500,238,AFC Bournemouth
2011-08-01,1500,243,AFC Bournemouth
2011-09-01,1500,247,AFC Bournemouth
2011-10-01,1500,243,AFC Bournemouth
2011-11-01,1500,246,AFC Bournemouth
2011-12-01,1500,242,AFC Bournemouth
2012-01-01,1500,237,AFC Bournemouth
2012-02-01,1500,242,AFC Bournemouth
2012-03-01,1500,241,AFC Bournemouth
2012-04-01,1500,235,AFC Bournemouth
2012-05-01,1500,236,AFC Bournemouth
2012-06-01,1500,243,AFC Bournemouth
2012-07-01,1500,240,AFC Bournemouth
2012-08-01,1500,239,AFC Bournemouth
2012-09-01,1500,242,AFC Bournemouth
2012-10-01,1500,237,AFC Bournemouth
2012-11-01,1500,245,AFC Bournemouth
2012-12-01,1500,243,AFC Bournemouth
2013-01-01,1500,240,AFC Bournemouth
2013-02-01,1500,246,AFC Bournemouth
2013-03-01,1500,243,AFC Bournemouth
2013-04-01,1500,250,AFC Bournemouth
2013-05-01,1500,249,AFC Bournemouth
2013-06-01,1500,254,AFC Bournemouth
2013-07-01,1500,255,AFC Bournemouth
2013-08-01,1500,249,AFC Bournemouth
2013-09-01,1500,246,AFC Bournemouth
2013-10-01,1500,244,AFC Bournemouth
2013-11-01,1500,251,AFC Bournemouth
2013-12-01,1500,259,AFC Bournemouth
2014-01-01,1500,253,AFC Bournemouth
2014-02-01,1500,254,AFC Bournemouth
2014-03-01,1500,250,AFC Bournemouth
2014-04-01,1500,250,AFC Bournemouth
2014-05-01,1500,251,AFC Bournemouth
2014-06-01,1500,255,AFC Bournemouth
2014-07-01,1500,253,AFC Bournemouth
2014-08-01,1500,257,AFC Bournemouth
2014-09-01,1500,255,AFC Bournemouth
2014-10-01,1500,254,AFC Bournemouth
2014-11-01,1500,253,AFC Bournemouth
2014-12-01,1500,248,AFC Bournemouth
2015-01-01,1500,246,AFC Bournemouth
2015-02-01,1500,249,AFC Bournemouth
2015-03-01,1500,254,AFC Bournemouth
