league.name,league.logo,league.color,league.style
English Premier League,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Premier_League_Logo.svg/500px-Premier_League_Logo.svg.png,white,width:52px;height:25px;
FA Cup,https://upload.wikimedia.org/wikipedia/en/d/d5/FA_Cup_logo_%282020%29.svg,white,width:30px;height:40px;
EFL Cup,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/EFL_%28Carabao%29_Cup_Logo.svg/300px-EFL_%28Carabao%29_Cup_Logo.svg.png,white,width:30px;height:40px;
FA Community Shield,https://upload.wikimedia.org/wikipedia/en/d/da/FA_Community_Shield_logo.png,white,width:40px;height:40px;
FIFA Club World Cup,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/FIFA_Club_World_Cup_logo.svg/400px-FIFA_Club_World_Cup_logo.svg.png,white,width:40px;height:40px;
FIFA Intercontinental Cup,https://upload.wikimedia.org/wikipedia/en/2/27/FIFA_Intercontinental_Cup.png,white,width:40px;height:40px;
UEFA Super Cup,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/UEFA_Super_Cup_logo.svg/380px-UEFA_Super_Cup_logo.svg.png,white,width:35px;height:40px;
Football League First Division,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/English_Football_League_Logo.svg/300px-English_Football_League_Logo.svg.png,#ffffb2,width:30px;height:40px;
Football League Championship,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/EFL_Championship_Logo.svg/330px-EFL_Championship_Logo.svg.png,#ffffb2,width:30px;height:40px;
EFL Championship,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/EFL_Championship_Logo.svg/330px-EFL_Championship_Logo.svg.png,#ffffb2,width:30px;height:40px;
UEFA Champions League,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/UEFA_Champions_League.svg/500px-UEFA_Champions_League.svg.png,#cccccc,width:38px;height:40px;
UEFA Europa League,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/UEFA_Europa_League_logo_%282024_version%29.svg/960px-UEFA_Europa_League_logo_%282024_version%29.svg.png?20240926025310,#ffdb99,width:30px;height:40px;
UEFA Conference League,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/UEFA_Conference_League_full_logo_%282024_version%29.svg/500px-UEFA_Conference_League_full_logo_%282024_version%29.svg.png,#b2d8b2,width:40px;height:40px;
UEFA Cup,https://upload.wikimedia.org/wikipedia/en/7/73/UEFA_Europa_League_2024.png,#ffdb99,width:30px;height:40px;
UEFA Cup Winners Cup,https://upload.wikimedia.org/wikipedia/en/f/f2/Cup_Winners_Cup.png,#99cccc,width:45px;height:40px;
UEFA Intertoto Cup,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/UEFA_Intertoto_Cup.svg/400px-UEFA_Intertoto_Cup.svg.png,#b2d8b2,width:40px;height:40px;
