team,team.logo,team.color,team.style
AFC Bournemouth,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/AFC_Bournemouth_%282013%29.svg/330px-AFC_Bournemouth_%282013%29.svg.png,#af1a1f,width:35px;height:45px;
Arsenal FC,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/500px-Arsenal_FC.svg.png,#cc000a,width:35px;height:40px;
Aston Villa FC,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/330px-Aston_Villa_FC_new_crest.svg.png,#9fbbe0,width:35px;height:45px;
Barnsley FC,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Barnsley_FC.svg/400px-Barnsley_FC.svg.png,#8c1016,width:40px;height:40px;
Birmingham City FC,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Birmingham_City_FC_logo.svg/320px-Birmingham_City_FC_logo.svg.png,#2d3f8c,width:40px;height:40px;
Blackburn Rovers FC,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/380px-Blackburn_Rovers.svg.png,#599ddc,width:40px;height:40px;
Blackpool FC,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Blackpool_FC_logo.svg/400px-Blackpool_FC_logo.svg.png,#d88226,width:40px;height:40px;
Bolton Wanderers FC,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/380px-Bolton_Wanderers_FC_logo.svg.png,#313e7c,width:40px;height:40px;
Bradford City AFC,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Bradford_City_AFC_crest.svg/320px-Bradford_City_AFC_crest.svg.png,#e6ae36,width:40px;height:40px;
Brentford FC,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Brentford_FC_crest.svg/400px-Brentford_FC_crest.svg.png,#a50000,width:40px;height:40px;
